stimulus_row_id,triplet_id,vowel_class,category,primary_suffix,secondary_suffix,root_A,root_B,A_x,A_y,B_x,zipf_A,zipf_B,zipf_diff,BERTurk_all_split,BERTurk_shared_final_subtoken,model,model_name,layer,pooling,A_x_model_ntokens,A_y_model_ntokens,B_x_model_ntokens,all_three_words_split_model,sim_same_root,sim_same_suffix,delta
1,T001,ince,inflectional,PLURAL,LOCATIVE,ev,göz,evler,evde,gözler,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,1,False,0.5346412384505639,0.34228998784780007,0.1923512506027638
2,T002,ince,inflectional,PLURAL,LOCATIVE,deniz,şehir,denizler,denizde,şehirler,5.39,5.34,0.05,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,1,False,0.7322594804039397,0.37924425633184233,0.3530152240720974
3,T003,ince,inflectional,PLURAL,LOCATIVE,köpek,çiçek,köpekler,köpekte,çiçekler,4.98,4.92,0.06,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,2,1,False,0.816811589214739,0.4717147776725312,0.3450968115422077
4,T004,ince,inflectional,PLURAL,LOCATIVE,gemi,ekmek,gemiler,gemide,ekmekler,4.91,4.81,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,2,False,0.7086213033063935,0.3729015671305995,0.335719736175794
5,T005,ince,inflectional,PLURAL,LOCATIVE,göz,deniz,gözler,gözde,denizler,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,2,False,0.4785414891300891,0.29997415100684854,0.17856733812324055
6,T006,ince,inflectional,LOCATIVE,PLURAL,ev,göz,evde,evler,gözde,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,1,False,0.5346412384505639,0.36142670105264263,0.17321453739792125
7,T007,ince,inflectional,LOCATIVE,PLURAL,deniz,şehir,denizde,denizler,şehirde,5.39,5.34,0.05,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,2,1,False,0.7322594804039397,0.42485111318264657,0.30740836722129317
8,T008,ince,inflectional,LOCATIVE,PLURAL,köpek,çiçek,köpekte,köpekler,çiçekte,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.816811589214739,0.4600106951521339,0.35680089406260507
9,T009,ince,inflectional,LOCATIVE,PLURAL,gemi,ekmek,gemide,gemiler,ekmekte,4.91,4.81,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,2,False,0.7086213033063935,0.34637234105681225,0.36224896224958125
10,T010,ince,inflectional,LOCATIVE,PLURAL,göz,deniz,gözde,gözler,denizde,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,1,False,0.4785414891300891,0.40535004999900437,0.07319143913108472
11,T011,ince,inflectional,ABLATIVE,PLURAL,ev,göz,evden,evler,gözden,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,1,False,0.5568347929588877,0.3410885462935169,0.2157462466653708
12,T012,ince,inflectional,ABLATIVE,PLURAL,deniz,şehir,denizden,denizler,şehirden,5.39,5.34,0.05,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,2,1,False,0.7306046401239638,0.48313908001321715,0.2474655601107466
13,T013,ince,inflectional,ABLATIVE,PLURAL,köpek,çiçek,köpekten,köpekler,çiçekten,4.98,4.92,0.06,False,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.8166691211695241,0.45921170996073135,0.3574574112087927
14,T014,ince,inflectional,ABLATIVE,PLURAL,gemi,ekmek,gemiden,gemiler,ekmekten,4.91,4.81,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,1,2,False,0.6928864793119249,0.33591333781442145,0.3569731414975035
15,T015,ince,inflectional,ABLATIVE,PLURAL,göz,deniz,gözden,gözler,denizden,5.47,5.39,0.08,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,1,False,0.4711366557946314,0.34996139215952415,0.12117526363510722
16,T016,ince,light_deriv,WITH,PLURAL,ev,göz,evli,evler,gözlü,5.57,5.47,0.1,False,False,BERTurk,dbmdz/bert-base-turkish-cased,1,first,1,1,1,False,0.41480654539381656,0.3086426216315412,0.10616392376227535
17,T017,ince,light_deriv,WITH,PLURAL,deniz,şehir,denizli,denizler,şehirli,5.39,5.34,0.05,True,True,BERTurk,dbmdz/bert-base-turkish-cased,1,first,2,2,2,True,0.9938949859213285,0.37894027465034774,0.6149547112709808
