QID,W1,W2,Sim,model,layer,pooling,cosine_similarity,model_name,pair_total_subtoken_count,pair_max_subtoken_count,clean_pair,split_pair,word1_is_split,word2_is_split,both_words_split,pair_avg_subtoken_char_length,word1_avg_subtoken_char_length,word2_avg_subtoken_char_length,word1_subtoken_count_per_char,word2_subtoken_count_per_char
1,mızrap,barınak,0.166666667,BERTurk,1,first,0.2975424216288234,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,3.25,3.0,3.5,0.3333333333333333,0.2857142857142857
2,kırmızı,gül,1.166666667,BERTurk,1,first,0.3448963475061917,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,7.0,3.0,0.1428571428571428,0.3333333333333333
3,suçlu,şüphe,2.416666667,BERTurk,1,first,0.3695483472552772,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
4,laikçiler,sekülerizmciler,9.0,BERTurk,1,first,0.3699446566854474,dbmdz/bert-base-turkish-cased,6,4,False,True,True,True,True,4.0,4.5,3.75,0.2222222222222222,0.2666666666666666
5,bitki,zeytin,3.666666667,BERTurk,1,first,0.44870773991191637,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,5.0,6.0,0.2,0.1666666666666666
6,serin,soğuk,7.25,BERTurk,1,first,0.5803516434761965,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
7,gül,pamuk,2.083333333,BERTurk,1,first,0.4331232831793238,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.0,3.0,5.0,0.3333333333333333,0.2
8,içki,alkol,7.75,BERTurk,1,first,0.6681580289351899,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.5,4.0,5.0,0.25,0.2
9,köle,serbest,0.333333333,BERTurk,1,first,0.33587261597703,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,4.0,7.0,0.25,0.1428571428571428
10,saray,pıhtı,0.333333333,BERTurk,1,first,0.2778680177375683,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,3.3333333333333335,5.0,2.5,0.2,0.4
