W1,W2,Sim,baseline_name,embedding_dim,seed,random_cosine_similarity
mızrap,barınak,0.166666667,random_baseline,768,42,0.03636469
kırmızı,gül,1.166666667,random_baseline,768,42,-0.01932466
suçlu,şüphe,2.416666667,random_baseline,768,42,-0.013916355
laikçiler,sekülerizmciler,9.0,random_baseline,768,42,0.019189287
bitki,zeytin,3.666666667,random_baseline,768,42,-0.020616211
serin,soğuk,7.25,random_baseline,768,42,0.031834796
gül,pamuk,2.083333333,random_baseline,768,42,-0.033372495
içki,alkol,7.75,random_baseline,768,42,0.060820714
köle,serbest,0.333333333,random_baseline,768,42,0.008639286
saray,pıhtı,0.333333333,random_baseline,768,42,-0.03039819
affedişi,bağışlayışı,9.083333333,random_baseline,768,42,0.025390353
sofra,zeytin,1.75,random_baseline,768,42,0.037028503
eşya,gözlük,2.333333333,random_baseline,768,42,-0.037690084
meslek,mühendis,2.416666667,random_baseline,768,42,-0.015501108
savunmaktaydılar,korumaktaydılar,8.166666667,random_baseline,768,42,0.071888775
peynir,ipek,0.833333333,random_baseline,768,42,-0.045057468
turizm,seyahat,4.5,random_baseline,768,42,0.004291607
tıknaz,uyumlu,0.166666667,random_baseline,768,42,-0.005925039
kemalci,atatürkist,8.75,random_baseline,768,42,-0.0075662173
polis,yardım,3.333333333,random_baseline,768,42,-0.012314194
gürültü,otobüs,0.916666667,random_baseline,768,42,0.050404698
temiz,titiz,7.833333333,random_baseline,768,42,-0.033889186
kitaplıklar,kitap,3.5,random_baseline,768,42,-0.025819004
böcek,karınca,3.5,random_baseline,768,42,-0.021655101
gazete,kitap,4.916666667,random_baseline,768,42,-0.11244723
okul,kordon,0.25,random_baseline,768,42,0.040393896
ibadet,oruç,5.416666667,random_baseline,768,42,-0.038125105
varlık,hayvan,2.416666667,random_baseline,768,42,0.042088553
tüketim,üretim,0.25,random_baseline,768,42,-0.043400787
sihirbaz,büyücü,7.583333333,random_baseline,768,42,0.025270052
giysi,gömlek,4.333333333,random_baseline,768,42,-0.015412048
hayvan,tavuk,3.333333333,random_baseline,768,42,0.00830276
sevgili,çiçek,1.166666667,random_baseline,768,42,-0.02674866
turizm,ekonomi,2.0,random_baseline,768,42,0.0121720955
eski,yeni,0.166666667,random_baseline,768,42,0.07146957
yüzük,sevgili,1.416666667,random_baseline,768,42,0.07060389
primatçaları,maymunsuları,6.333333333,random_baseline,768,42,0.015821138
bilimci,faiz,0.25,random_baseline,768,42,-0.032064665
gündüz,öğle,4.5,random_baseline,768,42,-0.01598816
otomobil,taksi,5.833333333,random_baseline,768,42,-0.0414154
