model,model_name,layer,pooling,category,vowel_class,n,mean_sim_same_root,mean_sim_same_suffix,mean_delta,ci95_low,ci95_high,wilcoxon_p
BERTurk,dbmdz/bert-base-turkish-cased,1,first,inflectional,ince,15,0.653992126024692,0.38889664711161814,0.265095478913074,0.21700357696820244,0.30965323105453446,6.103515625e-05
BERTurk,dbmdz/bert-base-turkish-cased,1,first,inflectional,kalın,15,0.7909366312398863,0.38544665925341653,0.40548997198646985,0.2916845966518429,0.516118330654952,6.103515625e-05
BERTurk,dbmdz/bert-base-turkish-cased,1,first,light_deriv,ince,10,0.697873330867406,0.3662683139014561,0.33160501696594985,0.21493824646004778,0.44535063973944805,0.001953125
BERTurk,dbmdz/bert-base-turkish-cased,1,first,light_deriv,kalın,10,0.8683233714861842,0.3727454085556194,0.4955779629305649,0.3928723854770899,0.601899384813246,0.001953125
BERTurk,dbmdz/bert-base-turkish-cased,1,first,strong_deriv,ince,5,0.743172201099173,0.38116244052560155,0.36200976057357154,0.26634405347393936,0.48109234816266977,0.0625
BERTurk,dbmdz/bert-base-turkish-cased,1,first,strong_deriv,kalın,5,0.801964628996996,0.39075523066886825,0.41120939832812786,0.3142086289912225,0.5433774192051269,0.0625
BERTurk,dbmdz/bert-base-turkish-cased,1,last,inflectional,ince,15,0.4296446908931878,0.46662975255823447,-0.03698506166504662,-0.20154041365566444,0.1306071619371368,1.0
BERTurk,dbmdz/bert-base-turkish-cased,1,last,inflectional,kalın,15,0.6151376252998576,0.5068741869268517,0.10826343837300609,-0.03936415204510991,0.22127896407210576,0.083251953125
BERTurk,dbmdz/bert-base-turkish-cased,1,last,light_deriv,ince,10,0.39631651918085586,0.706782456691651,-0.31046593751079515,-0.5520369262524097,-0.06631010175064642,0.083984375
BERTurk,dbmdz/bert-base-turkish-cased,1,last,light_deriv,kalın,10,0.3966926611107823,0.7846738764084312,-0.38798121529764884,-0.5377612084942331,-0.23457172394283268,0.005859375
BERTurk,dbmdz/bert-base-turkish-cased,1,last,strong_deriv,ince,5,0.29717015329865387,0.7487485679639464,-0.4515784146652925,-0.5975739473727566,-0.26079885003596165,0.0625
BERTurk,dbmdz/bert-base-turkish-cased,1,last,strong_deriv,kalın,5,0.3303331715920277,0.7659549937604759,-0.43562182216844825,-0.5364028574654404,-0.2844759421573857,0.0625
BERTurk,dbmdz/bert-base-turkish-cased,1,mean,inflectional,ince,15,0.6060974672093449,0.4575643755814328,0.14853309162791214,0.0972325211952019,0.19331704792881824,0.00030517578125
