QID,W1,W2,Sim,input_condition,model,layer,pooling,cosine_similarity,word1_context_sentence_count,word2_context_sentence_count,model_name,pair_total_subtoken_count,pair_max_subtoken_count,clean_pair,split_pair,word1_is_split,word2_is_split,both_words_split,pair_avg_subtoken_char_length,word1_avg_subtoken_char_length,word2_avg_subtoken_char_length,word1_subtoken_count_per_char,word2_subtoken_count_per_char
1,mızrap,barınak,0.166666667,contextual,BERTurk,1,first,0.2049837739737559,2,13,dbmdz/bert-base-turkish-cased,4,2,False,True,True,True,True,3.25,3.0,3.5,0.3333333333333333,0.2857142857142857
2,kırmızı,gül,1.166666667,contextual,BERTurk,1,first,0.3108527888675442,12,13,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,7.0,3.0,0.1428571428571428,0.3333333333333333
3,suçlu,şüphe,2.416666667,contextual,BERTurk,1,first,0.2951878656862579,12,8,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
4,laikçiler,sekülerizmciler,9.0,contextual,BERTurk,1,first,0.3034289912515371,8,10,dbmdz/bert-base-turkish-cased,6,4,False,True,True,True,True,4.0,4.5,3.75,0.2222222222222222,0.2666666666666666
5,bitki,zeytin,3.666666667,contextual,BERTurk,1,first,0.37688727397389,15,9,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,5.0,6.0,0.2,0.1666666666666666
6,serin,soğuk,7.25,contextual,BERTurk,1,first,0.5327623098859109,12,9,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,5.0,5.0,0.2,0.2
7,gül,pamuk,2.083333333,contextual,BERTurk,1,first,0.35213401755395957,13,1,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.0,3.0,5.0,0.3333333333333333,0.2
8,içki,alkol,7.75,contextual,BERTurk,1,first,0.6353241681380342,12,6,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,4.5,4.0,5.0,0.25,0.2
9,köle,serbest,0.333333333,contextual,BERTurk,1,first,0.27463319954130894,6,13,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,4.0,7.0,0.25,0.1428571428571428
10,saray,pıhtı,0.333333333,contextual,BERTurk,1,first,0.18584444893253416,9,10,dbmdz/bert-base-turkish-cased,3,2,False,True,False,True,False,3.3333333333333335,5.0,2.5,0.2,0.4
11,affedişi,bağışlayışı,9.083333333,contextual,BERTurk,1,first,0.42253541810992434,11,15,dbmdz/bert-base-turkish-cased,5,3,False,True,True,True,True,3.8,4.0,3.6666666666666665,0.25,0.2727272727272727
12,sofra,zeytin,1.75,contextual,BERTurk,1,first,0.32922124456959967,15,9,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.5,5.0,6.0,0.2,0.1666666666666666
13,eşya,gözlük,2.333333333,contextual,BERTurk,1,first,0.22793896105432365,10,14,dbmdz/bert-base-turkish-cased,2,1,True,False,False,False,False,5.0,4.0,6.0,0.25,0.1666666666666666
