QID,W1,W2,Sim,input_condition,model,layer,pooling,cosine_similarity,word1_context_sentence_count,word2_context_sentence_count,model_name
1,mızrap,barınak,0.166666667,contextual,BERTurk,1,first,0.18925694691550388,15,15,dbmdz/bert-base-turkish-cased
2,kırmızı,gül,1.166666667,contextual,BERTurk,1,first,0.30576041079998184,15,15,dbmdz/bert-base-turkish-cased
3,suçlu,şüphe,2.416666667,contextual,BERTurk,1,first,0.3550057044630456,15,15,dbmdz/bert-base-turkish-cased
4,laikçiler,sekülerizmciler,9.0,contextual,BERTurk,1,first,0.40318398469638883,15,15,dbmdz/bert-base-turkish-cased
5,bitki,zeytin,3.666666667,contextual,BERTurk,1,first,0.3884079101346979,15,15,dbmdz/bert-base-turkish-cased
6,serin,soğuk,7.25,contextual,BERTurk,1,first,0.5288278791355909,15,15,dbmdz/bert-base-turkish-cased
7,gül,pamuk,2.083333333,contextual,BERTurk,1,first,0.3488378248820696,15,14,dbmdz/bert-base-turkish-cased
8,içki,alkol,7.75,contextual,BERTurk,1,first,0.6321415250664892,15,15,dbmdz/bert-base-turkish-cased
9,köle,serbest,0.333333333,contextual,BERTurk,1,first,0.24812538359082115,15,13,dbmdz/bert-base-turkish-cased
10,saray,pıhtı,0.333333333,contextual,BERTurk,1,first,0.20927502793861175,15,15,dbmdz/bert-base-turkish-cased
11,affedişi,bağışlayışı,9.083333333,contextual,BERTurk,1,first,0.4431730200917334,15,15,dbmdz/bert-base-turkish-cased
12,sofra,zeytin,1.75,contextual,BERTurk,1,first,0.32703483489476937,15,15,dbmdz/bert-base-turkish-cased
13,eşya,gözlük,2.333333333,contextual,BERTurk,1,first,0.23955995464703816,15,15,dbmdz/bert-base-turkish-cased
14,meslek,mühendis,2.416666667,contextual,BERTurk,1,first,0.4003166703874298,15,15,dbmdz/bert-base-turkish-cased
15,savunmaktaydılar,korumaktaydılar,8.166666667,contextual,BERTurk,1,first,0.6102560230110946,15,15,dbmdz/bert-base-turkish-cased
16,peynir,ipek,0.833333333,contextual,BERTurk,1,first,0.2968102501378449,15,15,dbmdz/bert-base-turkish-cased
17,turizm,seyahat,4.5,contextual,BERTurk,1,first,0.4619273960718958,15,14,dbmdz/bert-base-turkish-cased
18,tıknaz,uyumlu,0.166666667,contextual,BERTurk,1,first,0.19921241571029236,15,15,dbmdz/bert-base-turkish-cased
19,kemalci,atatürkist,8.75,contextual,BERTurk,1,first,0.4531501918694363,15,15,dbmdz/bert-base-turkish-cased
20,polis,yardım,3.333333333,contextual,BERTurk,1,first,0.21777068290594492,15,15,dbmdz/bert-base-turkish-cased
21,gürültü,otobüs,0.916666667,contextual,BERTurk,1,first,0.3133581912404899,15,15,dbmdz/bert-base-turkish-cased
22,temiz,titiz,7.833333333,contextual,BERTurk,1,first,0.347723426102746,15,15,dbmdz/bert-base-turkish-cased
23,kitaplıklar,kitap,3.5,contextual,BERTurk,1,first,0.9847259081850818,15,15,dbmdz/bert-base-turkish-cased
24,böcek,karınca,3.5,contextual,BERTurk,1,first,0.5065855734748281,12,15,dbmdz/bert-base-turkish-cased
25,gazete,kitap,4.916666667,contextual,BERTurk,1,first,0.4255519694147374,15,15,dbmdz/bert-base-turkish-cased
26,okul,kordon,0.25,contextual,BERTurk,1,first,0.2328732539649867,15,15,dbmdz/bert-base-turkish-cased
27,ibadet,oruç,5.416666667,contextual,BERTurk,1,first,0.5035911416208254,15,15,dbmdz/bert-base-turkish-cased
28,varlık,hayvan,2.416666667,contextual,BERTurk,1,first,0.27635997403222756,15,15,dbmdz/bert-base-turkish-cased
29,tüketim,üretim,0.25,contextual,BERTurk,1,first,0.47892448585172154,15,15,dbmdz/bert-base-turkish-cased
30,sihirbaz,büyücü,7.583333333,contextual,BERTurk,1,first,0.5405301733701791,15,15,dbmdz/bert-base-turkish-cased
31,giysi,gömlek,4.333333333,contextual,BERTurk,1,first,0.501613963796824,15,15,dbmdz/bert-base-turkish-cased
32,hayvan,tavuk,3.333333333,contextual,BERTurk,1,first,0.47351263743228,15,15,dbmdz/bert-base-turkish-cased
33,sevgili,çiçek,1.166666667,contextual,BERTurk,1,first,0.2915383441174093,15,14,dbmdz/bert-base-turkish-cased
34,turizm,ekonomi,2.0,contextual,BERTurk,1,first,0.41903707567923787,15,15,dbmdz/bert-base-turkish-cased
35,eski,yeni,0.166666667,contextual,BERTurk,1,first,0.5170809843303238,15,15,dbmdz/bert-base-turkish-cased
36,yüzük,sevgili,1.416666667,contextual,BERTurk,1,first,0.19847454232657635,15,15,dbmdz/bert-base-turkish-cased
37,primatçaları,maymunsuları,6.333333333,contextual,BERTurk,1,first,0.275217500883019,15,15,dbmdz/bert-base-turkish-cased
38,bilimci,faiz,0.25,contextual,BERTurk,1,first,0.23574260030830907,15,15,dbmdz/bert-base-turkish-cased
39,gündüz,öğle,4.5,contextual,BERTurk,1,first,0.48252866730245925,15,15,dbmdz/bert-base-turkish-cased
40,otomobil,taksi,5.833333333,contextual,BERTurk,1,first,0.3958006521184694,15,12,dbmdz/bert-base-turkish-cased
41,çare,sos,1.0,contextual,BERTurk,1,first,0.1716252819621119,15,15,dbmdz/bert-base-turkish-cased
42,evrensel,sos,0.583333333,contextual,BERTurk,1,first,0.2446317652453719,15,15,dbmdz/bert-base-turkish-cased
43,viski,varlık,0.833333333,contextual,BERTurk,1,first,0.14151144027784301,15,15,dbmdz/bert-base-turkish-cased
44,alacaklanmak,tabure,0.25,contextual,BERTurk,1,first,0.20948791817199264,15,14,dbmdz/bert-base-turkish-cased
45,sebze,enginar,3.583333333,contextual,BERTurk,1,first,0.293134009130507,15,15,dbmdz/bert-base-turkish-cased
