target_word,sentence_id,sentence,source,generation_model,prompt_version,batch_id,valid_exact_match,exact_match_count,word_count,is_duplicate,valid
adalet,2,Toplumda adalet duygusunu zedeleyen olaylar yaşanıyor.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,6,False,False
adalet,3,Herkes adalet önünde eşit muamele görmelidir.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,6,False,False
adalet,4,Bu davada adalet yerini buldu mu sence?,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,7,False,False
adalet,5,"Hakim, adalet dağıtmak için titizlikle çalışıyor.",opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,6,False,False
adalet,6,Adalet kavramı insanlık tarihi kadar eskidir.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,False,0,6,False,False
adalet,7,Onun adalet anlayışı herkes tarafından takdir ediliyor.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,7,False,False
adalet,8,Yoksullar adalet sistemine güvenmekte zorlanıyor.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,5,False,False
adalet,9,Bu ülkede adalet her zaman üstün tutulmalıdır.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,7,False,False
adalet,10,Polis memuru adalet için gece gündüz çalışıyor.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,7,False,False
adalet,11,Haksızlığa uğrayanlar adalet arayışına giriyor.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,5,False,False
adalet,12,Adalet olmadan huzurlu bir toplum düşünülemez.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,False,0,6,False,False
adalet,13,Olayın ardından adalet mekanizması hızla işledi.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,6,False,False
adalet,14,Genç avukat adalet mücadelesine yeni başlamıştı.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,6,False,False
adalet,15,Adalet terazisi herkes için aynı olmalıdır.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,False,0,6,False,False
affedişi,1,Onun affedişi herkesi derinden etkiledi.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,5,False,False
affedişi,2,Bu affedişi anlamak için çok çaba harcadım.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,7,False,False
affedişi,3,Affedişi sayesinde aralarındaki buzlar eridi.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,False,0,5,False,False
affedişi,4,Olayın ardından affedişi beklenmedik bir gelişmeydi.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,6,False,False
affedişi,5,Onun affedişi dostluğumuzu daha da güçlendirdi.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,6,False,False
affedişi,6,Bu affedişi herkes için bir ders niteliğindeydi.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,7,False,False
affedişi,7,Affedişi ile birlikte her şey yoluna girdi.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,False,0,7,False,False
affedişi,9,Bu affedişi aile içinde huzuru sağladı.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,6,False,False
affedişi,10,Affedişi anında gözlerindeki ifadeyi unutamam.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,False,0,5,False,False
affedişi,11,Onun affedişi beni çok duygulandırdı.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,5,False,False
affedişi,12,Bu affedişi herkesin takdirini kazandı.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,5,False,False
affedişi,13,Affedişi ile ilgili hiçbir şüphem yok.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,False,0,6,False,False
affedişi,14,Onun affedişi sayesinde yeniden başlayabildik.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,5,False,False
affedişi,15,Bu affedişi uzun süre hafızalardan silinmeyecek.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,6,False,False
ahşap,1,Evin tüm mobilyaları doğal ahşap malzemeden yapılmış.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,7,False,False
ahşap,3,Mutfak tezgahında ahşap detaylar göze çarpıyor.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,6,False,False
ahşap,4,Çocuklar ahşap bloklarla kule yapmayı çok seviyor.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,7,False,False
ahşap,5,Restoranın dekorasyonunda bolca ahşap kullanılmış.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,5,False,False
ahşap,6,Balkondaki ahşap sandalyeler yıllara meydan okuyor.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,6,False,False
ahşap,7,"Usta, ahşap oymacılığında gerçekten yetenekli biri.",opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,6,False,False
ahşap,9,Bahçedeki ahşap bankta oturup kitap okudum.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,6,False,False
ahşap,10,Bu ahşap masa dededen kalma bir miras.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,7,False,False
ahşap,11,Duvardaki ahşap raflar kitaplarla dolup taşıyor.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,6,False,False
ahşap,12,Köy evinin çatısı geleneksel ahşap yöntemiyle yapılmış.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,7,False,False
ahşap,13,Ahşap oyuncaklar çocuklar için daha sağlıklı.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,False,0,6,False,False
ahşap,15,Sahildeki ahşap iskelede balık tutmayı seviyorum.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,6,False,False
aile,1,Her hafta sonu büyük aile yemeği düzenliyoruz.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,7,False,False
aile,2,Onun için aile her şeyden daha önemlidir.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,7,False,False
aile,3,Yeni evli çift kendi aile şirketini kurdu.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,7,False,False
aile,4,Aile bağları güçlü olan insanlar daha mutlu.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,False,0,7,False,False
aile,5,Bu zor günlerde aile desteği çok değerli.,opencode,deepseek-v4-flash,tr_context_sentences_v4_opencode_batch5_sent15,0,True,1,7,False,False
