robustness_subset,subset_description,model,model_name,layer,pooling,n,mean_sim_same_root,mean_sim_same_suffix,mean_delta,ci95_low,ci95_high,wilcoxon_p,is_best_in_subset
all_triplets,All 60 triplets,BERTurk,dbmdz/bert-base-turkish-cased,1,first,60,0.7510263755497569,0.3810812529336438,0.36994512261611334,0.3240076092313428,0.41448962436642794,1.629555794311934e-11,True
all_triplets,All 60 triplets,BERTurk,dbmdz/bert-base-turkish-cased,1,last,60,0.4456557195044246,0.6181773371983204,-0.1725216176938959,-0.2612190398610068,-0.08269378354589027,0.001628428510422967,False
all_triplets,All 60 triplets,BERTurk,dbmdz/bert-base-turkish-cased,1,max,60,0.6051819989379047,0.5280337884488853,0.07714821048901953,0.02507837036857818,0.13043111750680497,0.018856723975066426,False
all_triplets,All 60 triplets,BERTurk,dbmdz/bert-base-turkish-cased,1,mean,60,0.6701303172591438,0.5440751030448165,0.1260552142143273,0.093752325145956,0.16271348279261375,1.7851817437953063e-08,False
all_triplets,All 60 triplets,BERTurk,dbmdz/bert-base-turkish-cased,7,first,60,0.7778325608808654,0.7089286308507634,0.06890393003010183,0.032445256933556176,0.10745577263420122,0.00753418229765185,False
all_triplets,All 60 triplets,BERTurk,dbmdz/bert-base-turkish-cased,7,last,60,0.7490259673568144,0.8136021421936295,-0.0645761748368152,-0.10378075534727543,-0.02401063448553743,0.0028688762476433384,False
all_triplets,All 60 triplets,BERTurk,dbmdz/bert-base-turkish-cased,7,max,60,0.7675542124978707,0.7767469858127949,-0.009192773314924312,-0.045646257480072575,0.028153030428657924,0.49823626254144004,False
all_triplets,All 60 triplets,BERTurk,dbmdz/bert-base-turkish-cased,7,mean,60,0.8095164473468304,0.8027974886309649,0.006718958715865619,-0.016522247261189428,0.030382750905978084,0.8309475279594561,False
all_triplets,All 60 triplets,BERTurk,dbmdz/bert-base-turkish-cased,12,first,60,0.7327922026725625,0.686630351417064,0.04616185125549839,0.010495714589990273,0.08555731233488643,0.11516805621370461,False
all_triplets,All 60 triplets,BERTurk,dbmdz/bert-base-turkish-cased,12,last,60,0.7717319706491725,0.7738209399663375,-0.0020889693171647645,-0.03782649694232131,0.03612033220892889,0.6428046651320614,False
all_triplets,All 60 triplets,BERTurk,dbmdz/bert-base-turkish-cased,12,max,60,0.7582050746119116,0.7426392542081139,0.015565820403797816,-0.019368328078087638,0.05158631030189424,0.8655474079727468,False
all_triplets,All 60 triplets,BERTurk,dbmdz/bert-base-turkish-cased,12,mean,60,0.7984799031756543,0.7661667199504907,0.032313183225163536,0.005886363332350707,0.060819851962950505,0.06679674955908954,False
all_triplets,All 60 triplets,XLM-R,xlm-roberta-base,1,first,60,0.9553029918395133,0.5683634630422875,0.38693952879722576,0.3543194195845029,0.41386208927663765,1.994566564292453e-11,True
all_triplets,All 60 triplets,XLM-R,xlm-roberta-base,1,last,60,0.5746175882716951,0.8175850747657443,-0.24296748649404903,-0.2897672582582476,-0.19124205343536194,5.97427083509266e-10,False
