QID,W1,W2,Sim,Rel,S,D,R,U,SR,DR,SU,DU,AVG-C,W1F,W2F,AnyOOV,TwoOOV,EstSyn,EstAnt,EstRHigh,EstRMed,EstRLow,EstHyp,EstMer,W1-RWG,W2-RWG,RWMin,W1-DG,W2-DG,DGMax,W1-IG,W2-IG,IGMax,word1_subtokens,word2_subtokens,word1_fragmented,word2_fragmented,word1_tokens,word2_tokens
1,mızrap,barınak,"0,166666667","0,083333333",False,True,False,True,False,False,False,True,"6,15",150,890,FALSE,FALSE,0,0,0,0,1,0,0,2,3,2,0,1,1,0,0,0,2,2,True,True,"['mız', '##rap']","['barın', '##ak']"
2,kırmızı,gül,"1,166666667","7,166666667",False,True,True,False,False,True,False,False,,56298,64994,FALSE,FALSE,0,0,1,0,0,0,0,5,5,5,0,0,0,0,0,0,1,1,False,False,['kırmızı'],['gül']
3,suçlu,şüphe,"2,416666667",7,False,True,True,False,False,True,False,False,"4,69",13535,9721,FALSE,FALSE,0,0,1,0,0,0,0,4,4,4,1,0,1,0,0,0,1,1,False,False,['suçlu'],['şüphe']
4,laikçiler,sekülerizmciler,9,"9,416666667",True,False,True,False,True,False,False,False,,66,0,TRUE,FALSE,1,0,1,0,0,0,0,2,0,0,2,0,2,0,0,0,2,4,True,True,"['laik', '##çiler']","['sek', '##üler', '##izm', '##ciler']"
5,bitki,zeytin,"3,666666667","6,75",False,True,True,False,False,True,False,False,"6,6",11980,7488,FALSE,FALSE,0,0,0,1,0,1,0,4,4,4,0,0,0,0,0,0,1,1,False,False,['bitki'],['zeytin']
6,serin,soğuk,"7,25","8,833333333",True,False,True,False,True,False,False,False,"5,03",3675,37223,FALSE,FALSE,1,0,1,0,0,0,0,4,5,4,0,0,0,0,0,0,1,1,False,False,['serin'],['soğuk']
7,gül,pamuk,"2,083333333","3,583333333",False,True,False,True,False,False,False,True,"6,79",64994,17842,FALSE,FALSE,0,0,0,1,0,0,0,5,4,4,0,0,0,0,0,0,1,1,False,False,['gül'],['pamuk']
8,içki,alkol,"7,75","9,083333333",True,False,True,False,True,False,False,False,"6,44",16126,16236,FALSE,FALSE,0,0,1,0,0,1,0,4,4,4,1,0,1,0,0,0,1,1,False,False,['içki'],['alkol']
9,köle,serbest,"0,333333333","6,5",False,True,True,False,False,True,False,False,,3000,87614,FALSE,FALSE,0,1,1,0,0,0,0,3,5,3,0,0,0,0,0,0,1,1,False,False,['köle'],['serbest']
10,saray,pıhtı,"0,333333333","0,166666667",False,True,False,True,False,False,False,True,"6,56",21135,325,FALSE,FALSE,0,0,0,0,1,0,0,4,2,2,0,0,0,0,0,0,1,2,False,True,['saray'],"['p', '##ıhtı']"
11,affedişi,bağışlayışı,"9,083333333",9,True,False,True,False,True,False,False,False,,1,0,TRUE,FALSE,1,0,1,0,0,0,0,1,0,0,2,2,2,1,1,1,2,3,True,True,"['affed', '##işi']","['bağış', '##layış', '##ı']"
12,sofra,zeytin,"1,75","7,166666667",False,True,True,False,False,True,False,False,"6,37",2120,7488,FALSE,FALSE,0,0,0,1,0,0,1,3,4,3,0,0,0,0,0,0,1,1,False,False,['sofra'],['zeytin']
13,eşya,gözlük,"2,333333333",6,False,True,True,False,False,True,False,False,"6,56",18174,3238,FALSE,FALSE,0,0,0,1,0,1,0,4,3,3,0,1,1,0,0,0,1,1,False,False,['eşya'],['gözlük']
14,meslek,mühendis,"2,416666667","6,916666667",False,True,True,False,False,True,False,False,,63185,7509,FALSE,FALSE,0,0,0,1,0,1,0,5,4,4,0,0,0,0,0,0,1,1,False,False,['meslek'],['mühendis']
15,savunmaktaydılar,korumaktaydılar,"8,166666667","8,5",True,False,True,False,True,False,False,False,,5,2,FALSE,FALSE,1,0,1,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,True,True,"['savunmak', '##taydı', '##lar']","['korumak', '##taydı', '##lar']"
16,peynir,ipek,"0,833333333","0,5",False,True,False,True,False,False,False,True,"6,88",7434,10942,FALSE,FALSE,0,0,0,0,1,0,0,4,4,4,0,0,0,0,0,0,1,1,False,False,['peynir'],['ipek']
17,turizm,seyahat,"4,5","8,25",False,True,True,False,False,True,False,False,"3,28",55821,15936,FALSE,FALSE,0,0,1,0,0,0,0,5,4,4,1,0,1,0,0,0,1,1,False,False,['turizm'],['seyahat']
18,tıknaz,uyumlu,"0,166666667","0,833333333",False,True,False,True,False,False,False,True,,124,18774,FALSE,FALSE,0,0,0,0,1,0,0,2,4,2,0,1,1,0,0,0,2,1,True,False,"['tık', '##naz']",['uyumlu']
19,kemalci,atatürkist,"8,75","9,636363636",True,False,True,False,True,False,False,False,,59,0,TRUE,FALSE,1,0,1,0,0,0,0,2,0,0,1,1,1,0,0,0,2,2,True,True,"['kemal', '##ci']","['atatürk', '##ist']"
20,polis,yardım,"3,333333333","7,583333333",False,True,True,False,False,True,False,False,"6,55",93497,100548,FALSE,FALSE,0,0,0,1,0,0,0,5,5,5,0,0,0,0,0,0,1,1,False,False,['polis'],['yardım']
21,gürültü,otobüs,"0,916666667",5,False,True,True,False,False,True,False,False,"5,29",6332,15906,FALSE,FALSE,0,0,0,1,0,0,0,4,4,4,2,0,2,0,0,0,1,1,False,False,['gürültü'],['otobüs']
22,temiz,titiz,"7,833333333","9,166666667",True,False,True,False,True,False,False,False,"3,89",23343,4640,FALSE,FALSE,0,0,1,0,0,0,0,4,4,4,0,0,0,0,0,0,1,1,False,False,['temiz'],['titiz']
23,kitaplıklar,kitap,"3,5","8,75",False,True,True,False,False,True,False,False,,84,70642,FALSE,FALSE,0,0,1,0,0,0,1,2,5,2,1,0,1,1,0,1,2,1,True,False,"['kitap', '##lıklar']",['kitap']
24,böcek,karınca,"3,5","7,333333333",False,True,True,False,False,True,False,False,,2994,2158,FALSE,FALSE,0,0,0,1,0,0,0,3,3,3,0,0,0,0,0,0,1,1,False,False,['böcek'],['karınca']
25,gazete,kitap,"4,916666667","7,166666667",False,True,True,False,False,True,False,False,"6,81",49607,70642,FALSE,FALSE,0,0,0,1,0,0,0,5,5,5,0,0,0,0,0,0,1,1,False,False,['gazete'],['kitap']
26,okul,kordon,"0,25","1,083333333",False,True,False,True,False,False,False,True,"6,6",55774,1701,FALSE,FALSE,0,0,0,0,1,0,0,5,3,3,0,0,0,0,0,0,1,2,False,True,['okul'],"['kor', '##don']"
