triplet_id,vowel_class,category,primary_suffix,secondary_suffix,root_A,root_B,A_x,A_y,B_x,zipf_A,zipf_B,zipf_diff,A_x_BERTurk_ntokens,A_x_BERTurk_tokens,A_x_mBERT_ntokens,A_x_mBERT_tokens,A_x_XLM-R_ntokens,A_x_XLM-R_tokens,A_y_BERTurk_ntokens,A_y_BERTurk_tokens,A_y_mBERT_ntokens,A_y_mBERT_tokens,A_y_XLM-R_ntokens,A_y_XLM-R_tokens,B_x_BERTurk_ntokens,B_x_BERTurk_tokens,B_x_mBERT_ntokens,B_x_mBERT_tokens,B_x_XLM-R_ntokens,B_x_XLM-R_tokens,BERTurk_all_split,BERTurk_shared_final_subtoken
T001,ince,inflectional,PLURAL,LOCATIVE,ev,göz,evler,evde,gözler,5.57,5.47,0.1,1,evler,2,ev|##ler,2,▁ev|ler,1,evde,2,ev|##de,1,▁evde,1,gözler,3,g|##öz|##ler,2,▁göz|ler,False,False
T002,ince,inflectional,PLURAL,LOCATIVE,deniz,şehir,denizler,denizde,şehirler,5.39,5.34,0.05,2,deniz|##ler,2,deniz|##ler,2,▁deniz|ler,1,denizde,2,deniz|##de,2,▁de|nizde,1,şehirler,2,şehir|##ler,1,▁şehirler,False,False
T003,ince,inflectional,PLURAL,LOCATIVE,köpek,çiçek,köpekler,köpekte,çiçekler,4.98,4.92,0.06,1,köpekler,4,k|##öp|##ek|##ler,2,▁köpek|ler,2,köpek|##te,3,k|##öp|##ekte,2,▁köpek|te,1,çiçekler,4,ç|##i|##çe|##kler,2,▁çiçek|ler,False,False
T004,ince,inflectional,PLURAL,LOCATIVE,gemi,ekmek,gemiler,gemide,ekmekler,4.91,4.81,0.1,1,gemiler,3,ge|##mile|##r,2,▁gemi|ler,1,gemide,2,ge|##mide,2,▁gemi|de,2,ekmek|##ler,3,ek|##mek|##ler,3,▁ek|mek|ler,False,False
T005,ince,inflectional,PLURAL,LOCATIVE,göz,deniz,gözler,gözde,denizler,5.47,5.39,0.08,1,gözler,3,g|##öz|##ler,2,▁göz|ler,1,gözde,3,g|##öz|##de,2,▁göz|de,2,deniz|##ler,2,deniz|##ler,2,▁deniz|ler,False,False
T006,ince,inflectional,LOCATIVE,PLURAL,ev,göz,evde,evler,gözde,5.57,5.47,0.1,1,evde,2,ev|##de,1,▁evde,1,evler,2,ev|##ler,2,▁ev|ler,1,gözde,3,g|##öz|##de,2,▁göz|de,False,False
T007,ince,inflectional,LOCATIVE,PLURAL,deniz,şehir,denizde,denizler,şehirde,5.39,5.34,0.05,1,denizde,2,deniz|##de,2,▁de|nizde,2,deniz|##ler,2,deniz|##ler,2,▁deniz|ler,1,şehirde,2,şehir|##de,2,▁şehir|de,False,False
T008,ince,inflectional,LOCATIVE,PLURAL,köpek,çiçek,köpekte,köpekler,çiçekte,4.98,4.92,0.06,2,köpek|##te,3,k|##öp|##ekte,2,▁köpek|te,1,köpekler,4,k|##öp|##ek|##ler,2,▁köpek|ler,2,çiçek|##te,4,ç|##i|##çe|##kte,2,▁çiçek|te,False,True
T009,ince,inflectional,LOCATIVE,PLURAL,gemi,ekmek,gemide,gemiler,ekmekte,4.91,4.81,0.1,1,gemide,2,ge|##mide,2,▁gemi|de,1,gemiler,3,ge|##mile|##r,2,▁gemi|ler,2,ekmek|##te,3,ek|##mek|##te,2,▁ek|mekte,False,False
T010,ince,inflectional,LOCATIVE,PLURAL,göz,deniz,gözde,gözler,denizde,5.47,5.39,0.08,1,gözde,3,g|##öz|##de,2,▁göz|de,1,gözler,3,g|##öz|##ler,2,▁göz|ler,1,denizde,2,deniz|##de,2,▁de|nizde,False,False
T011,ince,inflectional,ABLATIVE,PLURAL,ev,göz,evden,evler,gözden,5.57,5.47,0.1,1,evden,2,ev|##den,2,▁ev|den,1,evler,2,ev|##ler,2,▁ev|ler,1,gözden,3,g|##öz|##den,2,▁göz|den,False,False
T012,ince,inflectional,ABLATIVE,PLURAL,deniz,şehir,denizden,denizler,şehirden,5.39,5.34,0.05,1,denizden,2,deniz|##den,2,▁deniz|den,2,deniz|##ler,2,deniz|##ler,2,▁deniz|ler,1,şehirden,2,şehir|##den,2,▁şehir|den,False,False
T013,ince,inflectional,ABLATIVE,PLURAL,köpek,çiçek,köpekten,köpekler,çiçekten,4.98,4.92,0.06,2,köpek|##ten,4,k|##öp|##ekte|##n,2,▁köpek|ten,1,köpekler,4,k|##öp|##ek|##ler,2,▁köpek|ler,2,çiçek|##ten,4,ç|##i|##çe|##kten,2,▁çiçek|ten,False,True
T014,ince,inflectional,ABLATIVE,PLURAL,gemi,ekmek,gemiden,gemiler,ekmekten,4.91,4.81,0.1,2,gemide|##n,3,ge|##mide|##n,2,▁gemi|den,1,gemiler,3,ge|##mile|##r,2,▁gemi|ler,2,ekmek|##ten,3,ek|##mek|##ten,3,▁ek|mekte|n,False,False
T015,ince,inflectional,ABLATIVE,PLURAL,göz,deniz,gözden,gözler,denizden,5.47,5.39,0.08,1,gözden,3,g|##öz|##den,2,▁göz|den,1,gözler,3,g|##öz|##ler,2,▁göz|ler,1,denizden,2,deniz|##den,2,▁deniz|den,False,False
T016,ince,light_deriv,WITH,PLURAL,ev,göz,evli,evler,gözlü,5.57,5.47,0.1,1,evli,2,ev|##li,2,▁ev|li,1,evler,2,ev|##ler,2,▁ev|ler,1,gözlü,3,g|##öz|##lü,2,▁göz|lü,False,False
